"","site_unique","site_location_name","herbarium_determination","is_uncertain_determination","veg_barcode","standardised_name","standardised_scientific_name","kingdom","taxa_id","family","genus","specific_epithet","infraspecific_rank","infraspecific_epithet","taxa_status","taxa_group","genus_species","authorship","published_in","rank","visit_start_date","site_location_visit_id","primary_gen_barcode","secondary_gen_barcode_1","secondary_gen_barcode_2","secondary_gen_barcode_3","secondary_gen_barcode_4"
"647","NSABHC0009-58026","NSABHC0009","Calotis hispidula",FALSE,"NSA013310","Calotis hispidula","Calotis hispidula (F.Muell.) F.Muell.","Plantae","https://id.biodiversity.org.au/name/apni/153504","Asteraceae","Calotis","hispidula","NA","NA","accepted","Equisetopsida","Calotis hispidula","(F.Muell.) F.Muell.","https://id.biodiversity.org.au/reference/apni/49840","Species","2016-09-13T11:11:06",58026,"NSA013567",NA,NA,NA,NA
"648","NSABHC0023-57099","NSABHC0023","Calotis hispidula",FALSE,"NSA07010","Calotis hispidula","Calotis hispidula (F.Muell.) F.Muell.","Plantae","https://id.biodiversity.org.au/name/apni/153504","Asteraceae","Calotis","hispidula","NA","NA","accepted","Equisetopsida","Calotis hispidula","(F.Muell.) F.Muell.","https://id.biodiversity.org.au/reference/apni/49840","Species","2014-04-21T00:00:00",57099,"NSA  07011",NA,NA,NA,NA
"649","NSABHC0013-53608","NSABHC0013","Calotis hispidula",FALSE,"NSA05519","Calotis hispidula","Calotis hispidula (F.Muell.) F.Muell.","Plantae","https://id.biodiversity.org.au/name/apni/153504","Asteraceae","Calotis","hispidula","NA","NA","accepted","Equisetopsida","Calotis hispidula","(F.Muell.) F.Muell.","https://id.biodiversity.org.au/reference/apni/49840","Species","2012-09-20T00:00:00",53608,"NSA05520",NA,NA,NA,NA
"650","NSABHC0010-53605","NSABHC0010","Calotis hispidula",FALSE,"NSA01734","Calotis hispidula","Calotis hispidula (F.Muell.) F.Muell.","Plantae","https://id.biodiversity.org.au/name/apni/153504","Asteraceae","Calotis","hispidula","NA","NA","accepted","Equisetopsida","Calotis hispidula","(F.Muell.) F.Muell.","https://id.biodiversity.org.au/reference/apni/49840","Species","2012-09-04T00:00:00",53605,"NSA01735",NA,NA,NA,NA
"651","NSABHC0029-58028","NSABHC0029","Calotis plumulifera",FALSE,"NSA013315","Calotis plumulifera","Calotis plumulifera F.Muell.","Plantae","https://id.biodiversity.org.au/name/apni/233417","Asteraceae","Calotis","plumulifera","NA","NA","accepted","Equisetopsida","Calotis plumulifera","F.Muell.","https://id.biodiversity.org.au/reference/apni/49840","Species","2016-09-12T15:35:12",58028,"NSA013316",NA,NA,NA,NA
"652","NSABHC0014-53609","NSABHC0014","Calotis plumulifera",FALSE,"NSA05760","Calotis plumulifera","Calotis plumulifera F.Muell.","Plantae","https://id.biodiversity.org.au/name/apni/233417","Asteraceae","Calotis","plumulifera","NA","NA","accepted","Equisetopsida","Calotis plumulifera","F.Muell.","https://id.biodiversity.org.au/reference/apni/49840","Species","2012-09-21T00:00:00",53609,"not collected",NA,NA,NA,NA
"653","NSABHC0012-53607","NSABHC0012","Calotis plumulifera",FALSE,"NSA05083","Calotis plumulifera","Calotis plumulifera F.Muell.","Plantae","https://id.biodiversity.org.au/name/apni/233417","Asteraceae","Calotis","plumulifera","NA","NA","accepted","Equisetopsida","Calotis plumulifera","F.Muell.","https://id.biodiversity.org.au/reference/apni/49840","Species","2012-09-19T00:00:00",53607,"NSA05084",NA,NA,NA,NA
"654","NSABHC0024-57100","NSABHC0024","Calotis",TRUE,"NSA07084","Calotis","Calotis R.Br.","Plantae","https://id.biodiversity.org.au/name/apni/213648","Asteraceae","Calotis","NA","NA","NA","accepted","Equisetopsida","Calotis NA","R.Br.","https://id.biodiversity.org.au/reference/apni/49840","Genus","2014-04-22T00:00:00",57100,NA,NA,NA,NA,NA
"655","NSABHC0012-58022","NSABHC0012","Carrichtera annua",FALSE,"NSA013865","Carrichtera annua","Carrichtera annua (L.) DC.","Plantae","https://id.biodiversity.org.au/name/apni/239346","Brassicaceae","Carrichtera","annua","NA","NA","accepted","Equisetopsida","Carrichtera annua","(L.) DC.","https://id.biodiversity.org.au/reference/apni/53841","Species","2016-09-15T09:49:34",58022,"NSA013866",NA,NA,NA,NA
"656","NSABHC0013-53608","NSABHC0013","Carrichtera annua",FALSE,"NSA05469","Carrichtera annua","Carrichtera annua (L.) DC.","Plantae","https://id.biodiversity.org.au/name/apni/239346","Brassicaceae","Carrichtera","annua","NA","NA","accepted","Equisetopsida","Carrichtera annua","(L.) DC.","https://id.biodiversity.org.au/reference/apni/53841","Species","2012-09-20T00:00:00",53608,"NSA05470",NA,NA,NA,NA
"657","NSABHC0028-58027","NSABHC0028","Carrichtera annua",FALSE,"NSA013477","Carrichtera annua","Carrichtera annua (L.) DC.","Plantae","https://id.biodiversity.org.au/name/apni/239346","Brassicaceae","Carrichtera","annua","NA","NA","accepted","Equisetopsida","Carrichtera annua","(L.) DC.","https://id.biodiversity.org.au/reference/apni/53841","Species","2016-09-12T13:10:42",58027,"NSA013478",NA,NA,NA,NA
"658","NSABHC0012-53607","NSABHC0012","Carrichtera annua",FALSE,"NSA05169","Carrichtera annua","Carrichtera annua (L.) DC.","Plantae","https://id.biodiversity.org.au/name/apni/239346","Brassicaceae","Carrichtera","annua","NA","NA","accepted","Equisetopsida","Carrichtera annua","(L.) DC.","https://id.biodiversity.org.au/reference/apni/53841","Species","2012-09-19T00:00:00",53607,"NSA05170",NA,NA,NA,NA
"659","NSABHC0009-53604","NSABHC0009","Casuarina pauper",FALSE,"NSA01531","Casuarina pauper","Casuarina pauper F.Muell. ex L.A.S.Johnson","Plantae","https://id.biodiversity.org.au/name/apni/244712","Casuarinaceae","Casuarina","pauper","NA","NA","accepted","Equisetopsida","Casuarina pauper","F.Muell. ex L.A.S.Johnson","https://id.biodiversity.org.au/reference/apni/42312","Species","2012-09-03T00:00:00",53604,"NSA01532",NA,NA,NA,NA
"660","NSABHC0029-58028","NSABHC0029","Centaurea melitensis",FALSE,"NSA013385","Centaurea melitensis","Centaurea melitensis L.","Plantae","https://id.biodiversity.org.au/name/apni/236721","Asteraceae","Centaurea","melitensis","NA","NA","accepted","Equisetopsida","Centaurea melitensis","L.","https://id.biodiversity.org.au/reference/apni/9787312","Species","2016-09-12T15:35:12",58028,"NSA013386",NA,NA,NA,NA
"661","NSABHC0014-53609","NSABHC0014","Centaurea melitensis",FALSE,"NSA05662","Centaurea melitensis","Centaurea melitensis L.","Plantae","https://id.biodiversity.org.au/name/apni/236721","Asteraceae","Centaurea","melitensis","NA","NA","accepted","Equisetopsida","Centaurea melitensis","L.","https://id.biodiversity.org.au/reference/apni/9787312","Species","2012-09-21T00:00:00",53609,"NSA05663",NA,NA,NA,NA
"662","NSABHC0028-58027","NSABHC0028","Centaurea melitensis",FALSE,"NSA013689","Centaurea melitensis","Centaurea melitensis L.","Plantae","https://id.biodiversity.org.au/name/apni/236721","Asteraceae","Centaurea","melitensis","NA","NA","accepted","Equisetopsida","Centaurea melitensis","L.","https://id.biodiversity.org.au/reference/apni/9787312","Species","2016-09-12T13:10:42",58027,"NSA013690",NA,NA,NA,NA
"663","NSABHC0010-53605","NSABHC0010","Chenopodium desertorum subsp. rectum",FALSE,"NSA01799","Chenopodium desertorum subsp. rectum","Chenopodium desertorum subsp. rectum Paul G.Wilson","Plantae","https://id.biodiversity.org.au/name/apni/238248","Chenopodiaceae","Chenopodium","desertorum","subsp.","rectum","accepted","Equisetopsida","Chenopodium desertorum","Paul G.Wilson","https://id.biodiversity.org.au/reference/apni/22909","Subspecies","2012-09-04T00:00:00",53605,"NSA01800",NA,NA,NA,NA
"664","NSABHC0012-53607","NSABHC0012","Maireana coronata",FALSE,"NSA05025","Maireana coronata","Maireana coronata (J.M.Black) Paul G.Wilson","Plantae","https://id.biodiversity.org.au/name/apni/239346","Chenopodiaceae","Maireana","coronata","NA","NA","accepted","Equisetopsida","Maireana coronata","(J.M.Black) Paul G.Wilson","https://id.biodiversity.org.au/reference/apni/22909","Species","2012-09-19T00:00:00",53607,"NSA05026",NA,NA,NA,NA
"665","NSABHC0012-58022","NSABHC0012","Maireana coronata",FALSE,"NSA013891","Maireana coronata","Maireana coronata (J.M.Black) Paul G.Wilson","Plantae","https://id.biodiversity.org.au/name/apni/239346","Chenopodiaceae","Maireana","coronata","NA","NA","accepted","Equisetopsida","Maireana coronata","(J.M.Black) Paul G.Wilson","https://id.biodiversity.org.au/reference/apni/22909","Species","2016-09-15T09:49:34",58022,"NSA013892",NA,NA,NA,NA
"666","NSABHC0029-58028","NSABHC0029","Lotus cruentus",FALSE,"NSA013352","Lotus cruentus","Lotus cruentus Court","Plantae","https://id.biodiversity.org.au/name/apni/247067","Fabaceae","Lotus","cruentus","NA","NA","accepted","Equisetopsida","Lotus cruentus","Court","https://id.biodiversity.org.au/reference/apni/49840","Species","2016-09-12T15:35:12",58028,NA,NA,NA,NA,NA
"667","NSABHC0012-53607","NSABHC0012","Convolvulus clementii",FALSE,"NSA05052","Convolvulus clementii","Convolvulus clementii Domin","Plantae","https://id.biodiversity.org.au/name/apni/245055","Convolvulaceae","Convolvulus","clementii","NA","NA","accepted","Equisetopsida","Convolvulus clementii","Domin","https://id.biodiversity.org.au/reference/apni/42942","Species","2012-09-19T00:00:00",53607,"NSA05053",NA,NA,NA,NA
"668","NSABHC0009-58026","NSABHC0009","Convolvulus eyreanus",FALSE,"NSA013543","Convolvulus eyreanus","Convolvulus eyreanus R.W.Johnson","Plantae","https://id.biodiversity.org.au/name/apni/240078","Convolvulaceae","Convolvulus","eyreanus","NA","NA","accepted","Equisetopsida","Convolvulus eyreanus","R.W.Johnson","https://id.biodiversity.org.au/reference/apni/42942","Species","2016-09-13T11:11:06",58026,"NSA013544",NA,NA,NA,NA
"669","NSABHC0010-53605","NSABHC0010","Convolvulus remotus",FALSE,"NSA01801","Convolvulus remotus","Convolvulus remotus R.Br.","Plantae","https://id.biodiversity.org.au/name/apni/240089","Convolvulaceae","Convolvulus","remotus","NA","NA","accepted","Equisetopsida","Convolvulus remotus","R.Br.","https://id.biodiversity.org.au/reference/apni/42942","Species","2012-09-04T00:00:00",53605,"NSA01802",NA,NA,NA,NA
"670","NSABHC0009-53604","NSABHC0009","Convolvulus remotus",FALSE,"NSA01629","Convolvulus remotus","Convolvulus remotus R.Br.","Plantae","https://id.biodiversity.org.au/name/apni/240089","Convolvulaceae","Convolvulus","remotus","NA","NA","accepted","Equisetopsida","Convolvulus remotus","R.Br.","https://id.biodiversity.org.au/reference/apni/42942","Species","2012-09-03T00:00:00",53604,"NSA01630",NA,NA,NA,NA
"671","NSABHC0009-53604","NSABHC0009","Convolvulus remotus",FALSE,"NSA01582","Convolvulus remotus","Convolvulus remotus R.Br.","Plantae","https://id.biodiversity.org.au/name/apni/240089","Convolvulaceae","Convolvulus","remotus","NA","NA","accepted","Equisetopsida","Convolvulus remotus","R.Br.","https://id.biodiversity.org.au/reference/apni/42942","Species","2012-09-03T00:00:00",53604,"NSA01583",NA,NA,NA,NA
"672","NSABHC0009-53604","NSABHC0009","Convolvulus remotus",FALSE,"NSA01516","Convolvulus remotus","Convolvulus remotus R.Br.","Plantae","https://id.biodiversity.org.au/name/apni/240089","Convolvulaceae","Convolvulus","remotus","NA","NA","accepted","Equisetopsida","Convolvulus remotus","R.Br.","https://id.biodiversity.org.au/reference/apni/42942","Species","2012-09-03T00:00:00",53604,"NSA01517",NA,NA,NA,NA
"673","NSABHC0013-53608","NSABHC0013","Convolvulus",FALSE,"NSA05459","Convolvulus","Convolvulus L.","Plantae","https://id.biodiversity.org.au/name/apni/240095","Convolvulaceae","Convolvulus","NA","NA","NA","accepted","Equisetopsida","Convolvulus NA","L.","https://id.biodiversity.org.au/reference/apni/42942","Genus","2012-09-20T00:00:00",53608,"NSA05460",NA,NA,NA,NA
"674","NSABHC0012-53607","NSABHC0012","Convolvulus",FALSE,"NSA05198","Convolvulus","Convolvulus L.","Plantae","https://id.biodiversity.org.au/name/apni/240095","Convolvulaceae","Convolvulus","NA","NA","NA","accepted","Equisetopsida","Convolvulus NA","L.","https://id.biodiversity.org.au/reference/apni/42942","Genus","2012-09-19T00:00:00",53607,"NSA05199",NA,NA,NA,NA
"675","NSABHC0009-53604","NSABHC0009","Convolvulus",FALSE,"NSA01520","Convolvulus","Convolvulus L.","Plantae","https://id.biodiversity.org.au/name/apni/240095","Convolvulaceae","Convolvulus","NA","NA","NA","accepted","Equisetopsida","Convolvulus NA","L.","https://id.biodiversity.org.au/reference/apni/42942","Genus","2012-09-03T00:00:00",53604,"not collected",NA,NA,NA,NA
"676","NSABHC0013-53608","NSABHC0013","Convolvulus",FALSE,"NSA05572","Convolvulus","Convolvulus L.","Plantae","https://id.biodiversity.org.au/name/apni/240095","Convolvulaceae","Convolvulus","NA","NA","NA","accepted","Equisetopsida","Convolvulus NA","L.","https://id.biodiversity.org.au/reference/apni/42942","Genus","2012-09-20T00:00:00",53608,"NSA05573",NA,NA,NA,NA
"677","NSABHC0012-53607","NSABHC0012","Convolvulus",FALSE,"NSA05157","Convolvulus","Convolvulus L.","Plantae","https://id.biodiversity.org.au/name/apni/240095","Convolvulaceae","Convolvulus","NA","NA","NA","accepted","Equisetopsida","Convolvulus NA","L.","https://id.biodiversity.org.au/reference/apni/42942","Genus","2012-09-19T00:00:00",53607,"NSA05158",NA,NA,NA,NA
"678","NSABHC0009-58026","NSABHC0009","Corynotheca licrota",FALSE,"NSA013655","Corynotheca licrota","Corynotheca licrota R.J.F.Hend.","Plantae","https://id.biodiversity.org.au/name/apni/238071","Hemerocallidaceae","Corynotheca","licrota","NA","NA","accepted","Equisetopsida","Corynotheca licrota","R.J.F.Hend.","https://id.biodiversity.org.au/reference/apni/42942","Species","2016-09-13T11:11:06",58026,"NSA013656",NA,NA,NA,NA
"679","NSABHC0009-58026","NSABHC0009","Crassula colligata subsp. lamprosperma",FALSE,"NSA013259","Crassula colligata subsp. lamprosperma","Crassula colligata subsp. lamprosperma Toelken","Plantae","https://id.biodiversity.org.au/name/apni/198514","Crassulaceae","Crassula","colligata","subsp.","lamprosperma","accepted","Equisetopsida","Crassula colligata","Toelken","https://id.biodiversity.org.au/reference/apni/44408","Subspecies","2016-09-13T11:11:06",58026,"NSA013260",NA,NA,NA,NA
"680","NSABHC0023-57099","NSABHC0023","Crassula colorata",FALSE,"NSA07012","Crassula colorata","Crassula colorata (Nees) Ostenf.","Plantae","https://id.biodiversity.org.au/name/apni/202275","Crassulaceae","Crassula","colorata","NA","NA","accepted","Equisetopsida","Crassula colorata","(Nees) Ostenf.","https://id.biodiversity.org.au/reference/apni/44408","Species","2014-04-21T00:00:00",57099,"NSA  07013",NA,NA,NA,NA
"681","NSABHC0012-58022","NSABHC0012","Cullen australasicum",FALSE,"NSA013803","Cullen australasicum","Cullen australasicum (Schltdl.) J.W.Grimes","Plantae","https://id.biodiversity.org.au/name/apni/227124","Fabaceae","Cullen","australasicum","NA","NA","accepted","Equisetopsida","Cullen australasicum","(Schltdl.) J.W.Grimes","https://id.biodiversity.org.au/reference/apni/49840","Species","2016-09-15T09:49:34",58022,"NSA013804",NA,NA,NA,NA
"682","NSABHC0009-53604","NSABHC0009","Cullen cinereum",FALSE,"NSA01443","Cullen cinereum","Cullen cinereum (Lindl.) J.W.Grimes","Plantae","https://id.biodiversity.org.au/name/apni/198515","Fabaceae","Cullen","cinereum","NA","NA","accepted","Equisetopsida","Cullen cinereum","(Lindl.) J.W.Grimes","https://id.biodiversity.org.au/reference/apni/49840","Species","2012-09-03T00:00:00",53604,"NSA01444",NA,NA,NA,NA
"683","NSABHC0012-53607","NSABHC0012","Cullen cinereum",FALSE,"NSA05099","Cullen cinereum","Cullen cinereum (Lindl.) J.W.Grimes","Plantae","https://id.biodiversity.org.au/name/apni/198515","Fabaceae","Cullen","cinereum","NA","NA","accepted","Equisetopsida","Cullen cinereum","(Lindl.) J.W.Grimes","https://id.biodiversity.org.au/reference/apni/49840","Species","2012-09-19T00:00:00",53607,"NSA05100",NA,NA,NA,NA
"684","NSABHC0009-53604","NSABHC0009","Cullen cinereum",FALSE,"NSA01576","Cullen cinereum","Cullen cinereum (Lindl.) J.W.Grimes","Plantae","https://id.biodiversity.org.au/name/apni/198515","Fabaceae","Cullen","cinereum","NA","NA","accepted","Equisetopsida","Cullen cinereum","(Lindl.) J.W.Grimes","https://id.biodiversity.org.au/reference/apni/49840","Species","2012-09-03T00:00:00",53604,"NSA01577",NA,NA,NA,NA
"685","NSABHC0009-53604","NSABHC0009","Vittadinia",FALSE,"NSA01451","Vittadinia","Vittadinia A.Rich.","Plantae","https://id.biodiversity.org.au/name/apni/240090","Asteraceae","Vittadinia","NA","NA","NA","accepted","Equisetopsida","Vittadinia NA","A.Rich.","https://id.biodiversity.org.au/reference/apni/49840","Genus","2012-09-03T00:00:00",53604,"NSA01452",NA,NA,NA,NA
"686","NSABHC0013-53608","NSABHC0013","Cymbopogon ambiguus",FALSE,"NSA05477","Cymbopogon ambiguus","Cymbopogon ambiguus (Hack.) A.Camus","Plantae","https://id.biodiversity.org.au/name/apni/238296","Poaceae","Cymbopogon","ambiguus","NA","NA","accepted","Equisetopsida","Cymbopogon ambiguus","(Hack.) A.Camus","https://id.biodiversity.org.au/reference/apni/47743","Species","2012-09-20T00:00:00",53608,"NSA05478",NA,NA,NA,NA
"687","NSABHC0009-53604","NSABHC0009","Dactyloctenium radulans",FALSE,"NSA01628","Dactyloctenium radulans","Dactyloctenium radulans (R.Br.) P.Beauv.","Plantae","https://id.biodiversity.org.au/name/apni/238248","Poaceae","Dactyloctenium","radulans","NA","NA","accepted","Equisetopsida","Dactyloctenium radulans","(R.Br.) P.Beauv.","https://id.biodiversity.org.au/reference/apni/44408","Species","2012-09-03T00:00:00",53604,"not collected",NA,NA,NA,NA
"688","NSABHC0012-53607","NSABHC0012","Dactyloctenium radulans",FALSE,"NSA05045","Dactyloctenium radulans","Dactyloctenium radulans (R.Br.) P.Beauv.","Plantae","https://id.biodiversity.org.au/name/apni/238248","Poaceae","Dactyloctenium","radulans","NA","NA","accepted","Equisetopsida","Dactyloctenium radulans","(R.Br.) P.Beauv.","https://id.biodiversity.org.au/reference/apni/44408","Species","2012-09-19T00:00:00",53607,"not collected",NA,NA,NA,NA
"689","NSABHC0028-58027","NSABHC0028","Daucus glochidiatus",FALSE,"NSA013441","Daucus glochidiatus","Daucus glochidiatus (Labill.) Fisch., C.A.Mey. & Ave-Lall.","Plantae","https://id.biodiversity.org.au/name/apni/245061","Apiaceae","Daucus","glochidiatus","NA","NA","accepted","Equisetopsida","Daucus glochidiatus","(Labill.) Fisch., C.A.Mey. & Ave-Lall.","https://id.biodiversity.org.au/reference/apni/49840","Species","2016-09-12T13:10:42",58027,"NSA013442",NA,NA,NA,NA
"690","NSABHC0010-53605","NSABHC0010","Daucus glochidiatus",FALSE,"NSA01752","Daucus glochidiatus","Daucus glochidiatus (Labill.) Fisch., C.A.Mey. & Ave-Lall.","Plantae","https://id.biodiversity.org.au/name/apni/245061","Apiaceae","Daucus","glochidiatus","NA","NA","accepted","Equisetopsida","Daucus glochidiatus","(Labill.) Fisch., C.A.Mey. & Ave-Lall.","https://id.biodiversity.org.au/reference/apni/49840","Species","2012-09-04T00:00:00",53605,"not collected",NA,NA,NA,NA
"691","NSABHC0009-58026","NSABHC0009","Daucus glochidiatus",FALSE,"NSA013561","Daucus glochidiatus","Daucus glochidiatus (Labill.) Fisch., C.A.Mey. & Ave-Lall.","Plantae","https://id.biodiversity.org.au/name/apni/245061","Apiaceae","Daucus","glochidiatus","NA","NA","accepted","Equisetopsida","Daucus glochidiatus","(Labill.) Fisch., C.A.Mey. & Ave-Lall.","https://id.biodiversity.org.au/reference/apni/49840","Species","2016-09-13T11:11:06",58026,"NSA013562",NA,NA,NA,NA
"692","NSABHC0024-57100","NSABHC0024","Daucus glochidiatus",FALSE,"NSA07176","Daucus glochidiatus","Daucus glochidiatus (Labill.) Fisch., C.A.Mey. & Ave-Lall.","Plantae","https://id.biodiversity.org.au/name/apni/245061","Apiaceae","Daucus","glochidiatus","NA","NA","accepted","Equisetopsida","Daucus glochidiatus","(Labill.) Fisch., C.A.Mey. & Ave-Lall.","https://id.biodiversity.org.au/reference/apni/49840","Species","2014-04-22T00:00:00",57100,NA,NA,NA,NA,NA
"693","NSABHC0009-58026","NSABHC0009","Dichanthium sericeum subsp. sericeum",FALSE,"NSA013519","Dichanthium sericeum subsp. sericeum","Dichanthium sericeum (R.Br.) A.Camus subsp. sericeum","Plantae","https://id.biodiversity.org.au/name/apni/202275","Poaceae","Dichanthium","sericeum","subsp.","sericeum","accepted","Equisetopsida","Dichanthium sericeum","NA","https://id.biodiversity.org.au/reference/apni/47743","Subspecies","2016-09-13T11:11:06",58026,"NSA013520",NA,NA,NA,NA
"694","NSABHC0024-57100","NSABHC0024","Digitaria brownii",FALSE,"NSA07206","Digitaria brownii","Digitaria brownii (Roem. & Schult.) Hughes","Plantae","https://id.biodiversity.org.au/name/apni/229446","Poaceae","Digitaria","brownii","NA","NA","accepted","Equisetopsida","Digitaria brownii","(Roem. & Schult.) Hughes","https://id.biodiversity.org.au/reference/apni/47743","Species","2014-04-22T00:00:00",57100,"NSA  07207",NA,NA,NA,NA
"695","NSABHC0009-53604","NSABHC0009","Digitaria brownii",FALSE,"AUG 000281","Digitaria brownii","Digitaria brownii (Roem. & Schult.) Hughes","Plantae","https://id.biodiversity.org.au/name/apni/229446","Poaceae","Digitaria","brownii","NA","NA","accepted","Equisetopsida","Digitaria brownii","(Roem. & Schult.) Hughes","https://id.biodiversity.org.au/reference/apni/47743","Species","2012-09-03T00:00:00",53604,"not collected",NA,NA,NA,NA
"696","NSABHC0012-53607","NSABHC0012","Digitaria divaricatissima",FALSE,"NSA05093","Digitaria divaricatissima","Digitaria divaricatissima (R.Br.) Hughes","Plantae","https://id.biodiversity.org.au/name/apni/245063","Poaceae","Digitaria","divaricatissima","NA","NA","accepted","Equisetopsida","Digitaria divaricatissima","(R.Br.) Hughes","https://id.biodiversity.org.au/reference/apni/53841","Species","2012-09-19T00:00:00",53607,"NSA05094",NA,NA,NA,NA
"697","NSABHC0009-53604","NSABHC0009","Disphyma crassifolium subsp. clavellatum",FALSE,"AUG 000282","Disphyma crassifolium subsp. clavellatum","Disphyma crassifolium subsp. clavellatum (Haw.) Chinnock","Plantae","https://id.biodiversity.org.au/name/apni/238073","Aizoaceae","Disphyma","crassifolium","subsp.","clavellatum","accepted","Equisetopsida","Disphyma crassifolium","(Haw.) Chinnock","https://id.biodiversity.org.au/reference/apni/42312","Subspecies","2012-09-03T00:00:00",53604,"not collected",NA,NA,NA,NA
"698","NSABHC0012-58022","NSABHC0012","Dissocarpus biflorus var. biflorus",FALSE,"NSA013745","Dissocarpus biflorus var. biflorus","Dissocarpus biflorus (R.Br.) F.Muell. var. biflorus","Plantae","https://id.biodiversity.org.au/name/apni/203717","Chenopodiaceae","Dissocarpus","biflorus","var.","biflorus","accepted","Equisetopsida","Dissocarpus biflorus","NA","https://id.biodiversity.org.au/reference/apni/42312","Varietas","2016-09-15T09:49:34",58022,"NSA013746",NA,NA,NA,NA
"699","NSABHC0009-53604","NSABHC0009","Dissocarpus biflorus var. biflorus",FALSE,"NSA01382","Dissocarpus biflorus var. biflorus","Dissocarpus biflorus (R.Br.) F.Muell. var. biflorus","Plantae","https://id.biodiversity.org.au/name/apni/203717","Chenopodiaceae","Dissocarpus","biflorus","var.","biflorus","accepted","Equisetopsida","Dissocarpus biflorus","NA","https://id.biodiversity.org.au/reference/apni/42312","Varietas","2012-09-03T00:00:00",53604,"NSA01383",NA,NA,NA,NA
"700","NSABHC0023-57099","NSABHC0023","Dissocarpus paradoxus",FALSE,"NSA06943","Dissocarpus paradoxus","Dissocarpus paradoxus (R.Br.) F.Muell. ex Ulbr.","Plantae","https://id.biodiversity.org.au/name/apni/235267","Chenopodiaceae","Dissocarpus","paradoxus","NA","NA","accepted","Equisetopsida","Dissocarpus paradoxus","(R.Br.) F.Muell. ex Ulbr.","https://id.biodiversity.org.au/reference/apni/51428473","Species","2014-04-21T00:00:00",57099,"NSA  06944",NA,NA,NA,NA
"701","NSABHC0029-58028","NSABHC0029","Lotus cruentus",FALSE,"NSA013291","Lotus cruentus","Lotus cruentus Court","Plantae","https://id.biodiversity.org.au/name/apni/247067","Fabaceae","Lotus","cruentus","NA","NA","accepted","Equisetopsida","Lotus cruentus","Court","https://id.biodiversity.org.au/reference/apni/49840","Species","2016-09-12T15:35:12",58028,"NSA013292",NA,NA,NA,NA
"702","NSABHC0024-57100","NSABHC0024","Dysphania cristata",FALSE,"NSA07132","Dysphania cristata","Dysphania cristata (F.Muell.) Mosyakin & Clemants","Plantae","https://id.biodiversity.org.au/name/apni/205472","Chenopodiaceae","Dysphania","cristata","NA","NA","accepted","Equisetopsida","Dysphania cristata","(F.Muell.) Mosyakin & Clemants","https://id.biodiversity.org.au/reference/apni/46762","Species","2014-04-22T00:00:00",57100,"NSA  07133",NA,NA,NA,NA
"703","NSABHC0023-57099","NSABHC0023","Dysphania cristata",FALSE,"NSA06939","Dysphania cristata","Dysphania cristata (F.Muell.) Mosyakin & Clemants","Plantae","https://id.biodiversity.org.au/name/apni/205472","Chenopodiaceae","Dysphania","cristata","NA","NA","accepted","Equisetopsida","Dysphania cristata","(F.Muell.) Mosyakin & Clemants","https://id.biodiversity.org.au/reference/apni/46762","Species","2014-04-21T00:00:00",57099,"NSA  06940",NA,NA,NA,NA
"704","NSABHC0023-57099","NSABHC0023","Echium plantagineum",FALSE,"NSA06991","Echium plantagineum","Echium plantagineum L.","Plantae","https://id.biodiversity.org.au/name/apni/203717","Boraginaceae","Echium","plantagineum","NA","NA","accepted","Equisetopsida","Echium plantagineum","L.","https://id.biodiversity.org.au/reference/apni/42942","Species","2014-04-21T00:00:00",57099,"NSA  06992",NA,NA,NA,NA
"705","NSABHC0024-57100","NSABHC0024","Echium plantagineum",FALSE,"NSA07073","Echium plantagineum","Echium plantagineum L.","Plantae","https://id.biodiversity.org.au/name/apni/203717","Boraginaceae","Echium","plantagineum","NA","NA","accepted","Equisetopsida","Echium plantagineum","L.","https://id.biodiversity.org.au/reference/apni/42942","Species","2014-04-22T00:00:00",57100,"NSA  07074",NA,NA,NA,NA
"706","NSABHC0023-57099","NSABHC0023","Einadia nutans",FALSE,"NSA06959","Einadia nutans","Einadia nutans (R.Br.) A.J.Scott","Plantae","https://id.biodiversity.org.au/name/apni/189772","Chenopodiaceae","Einadia","nutans","NA","NA","accepted","Equisetopsida","Einadia nutans","(R.Br.) A.J.Scott","https://id.biodiversity.org.au/reference/apni/53841","Species","2014-04-21T00:00:00",57099,"NSA  06960",NA,NA,NA,NA
"707","NSABHC0024-57100","NSABHC0024","Enchylaena tomentosa",FALSE,"NSA07136","Enchylaena tomentosa","Enchylaena tomentosa R.Br.","Plantae","https://id.biodiversity.org.au/name/apni/246908","Chenopodiaceae","Enchylaena","tomentosa","NA","NA","accepted","Equisetopsida","Enchylaena tomentosa","R.Br.","https://id.biodiversity.org.au/reference/apni/22909","Species","2014-04-22T00:00:00",57100,"NSA  07137",NA,NA,NA,NA
"708","NSABHC0014-53609","NSABHC0014","Enneapogon avenaceus",FALSE,"NSA05711","Enneapogon avenaceus","Enneapogon avenaceus (Lindl.) C.E.Hubb.","Plantae","https://id.biodiversity.org.au/name/apni/203323","Poaceae","Enneapogon","avenaceus","NA","NA","accepted","Equisetopsida","Enneapogon avenaceus","(Lindl.) C.E.Hubb.","https://id.biodiversity.org.au/reference/apni/44408","Species","2012-09-21T00:00:00",53609,"NSA05712","NSA 005584","NSA 005585","NSA 005586","NSA 005587"
